,max_bodies,batch_size,num_bodies,time
142,100,32,11.03125,0.779106616973877
143,100,32,11.03125,0.7756974697113037
144,100,32,11.03125,0.8016207218170166
145,100,32,11.03125,0.7803707122802734
146,100,32,11.125,0.786893367767334
147,100,32,11.125,0.7522213459014893
148,100,32,11.375,0.7133033275604248
149,100,32,11.59375,0.7978334426879883
150,100,32,11.65625,0.6898097991943359
151,100,32,11.75,0.7314543724060059
152,100,32,11.90625,0.7070977687835693
153,100,32,11.96875,0.6666862964630127
154,100,32,11.96875,0.7094759941101074
155,100,32,12.03125,0.6565170288085938
156,100,32,12.03125,0.684067964553833
157,100,32,12.03125,0.7740864753723145
158,100,32,12.03125,0.7469627857208252
159,100,32,12.03125,0.6812891960144043
160,100,32,12.09375,0.690687894821167
161,100,32,12.09375,0.7665293216705322
